date,size
01/01/2000,6221.6
01/02/2000,6233.1
01/03/2000,6245.5
01/04/2000,6257.2
01/05/2000,6269.4
01/06/2000,6282.2
01/07/2000,6296.3
01/08/2000,6311.6
01/09/2000,6326.5
01/10/2000,6341.7
01/11/2000,6355.9
01/12/2000,6369.3
01/01/2001,6381.1
01/02/2001,6391.1
01/03/2001,6402.1
01/04/2001,6411.9
01/05/2001,6422.3
01/06/2001,6433.2
01/07/2001,6445.6
01/08/2001,6459.2
01/09/2001,6472.7
01/10/2001,6485.3
01/11/2001,6497.2
01/12/2001,6508.8
01/01/2002,6518.3
01/02/2002,6526.2
01/03/2002,6535.6
01/04/2002,6544.5
01/05/2002,6553.6
01/06/2002,6563
01/07/2002,6574.3
01/08/2002,6586.5
01/09/2002,6597.8
01/10/2002,6609.3
01/11/2002,6619.7
01/12/2002,6631.1
01/01/2003,6640.3
01/02/2003,6648.8
01/03/2003,6657.2
01/04/2003,6665.3
01/05/2003,6674.3
01/06/2003,6683.8
01/07/2003,6695
01/08/2003,6706.3
01/09/2003,6717.3
01/10/2003,6728.1
01/11/2003,6738.3
01/12/2003,6748.4
01/01/2004,6757.8
01/02/2004,6765.9
01/03/2004,6775.3
01/04/2004,6783.9
01/05/2004,6793.2
01/06/2004,6803.5
01/07/2004,6814.6
01/08/2004,6825.9
01/09/2004,6837.2
01/10/2004,6848.3
01/11/2004,6859.2
01/12/2004,6869.5
01/01/2005,6878.3
01/02/2005,6886.3
01/03/2005,6895.9
01/04/2005,6904.4
01/05/2005,6913.8
01/06/2005,6923.6
01/07/2005,6935.1
01/08/2005,6947
01/09/2005,6959.1
01/10/2005,6969.4
01/11/2005,6979.8
01/12/2005,6990.7
01/01/2006,7000.9
01/02/2006,7009.8
01/03/2006,7019.6
01/04/2006,7028.7
01/05/2006,7038.8
01/06/2006,7048.6
01/07/2006,7060.4
01/08/2006,7072.8
01/09/2006,7084.3
01/10/2006,7095.7
01/11/2006,7106.8
01/12/2006,7116.7
01/01/2007,7125.8
01/02/2007,7133.9
01/03/2007,7143.5
01/04/2007,7152.1
01/05/2007,7162.3
01/06/2007,7172.4
01/07/2007,7184.9
01/08/2007,7197.7
01/09/2007,7208.8
01/10/2007,7220.6
01/11/2007,7232.2
01/12/2007,7243.6
01/01/2008,7254.3
01/02/2008,7263.2
01/03/2008,7273.3
01/04/2008,7282.8
01/05/2008,7293
01/06/2008,7303.3
01/07/2008,7315.7
01/08/2008,7328.2
01/09/2008,7340.5
01/10/2008,7352.3
01/11/2008,7363
01/12/2008,7374
01/01/2009,7429
01/02/2009,7438.3
01/03/2009,7448.5
01/04/2009,7457.8
01/05/2009,7467.8
01/06/2009,7478.1
01/07/2009,7490.6
01/08/2009,7503.7
01/09/2009,7516.5
01/10/2009,7528.7
01/11/2009,7540.1
01/12/2009,7552
01/01/2010,7563.6
01/02/2010,7573.9
01/03/2010,7585.2
01/04/2010,7595.8
01/05/2010,7606.3
01/06/2010,7617.6
01/07/2010,7630.5
01/08/2010,7644
01/09/2010,7656.8
01/10/2010,7670.1
01/11/2010,7682.5
01/12/2010,7695.1
01/01/2011,7706.4
01/02/2011,7716.6
01/03/2011,7727.9
01/04/2011,7738.1
01/05/2011,7748.6
01/06/2011,7759.4
01/07/2011,7772.5
01/08/2011,7785.9
01/09/2011,7799
01/10/2011,7812.2
01/11/2011,7824.2
01/12/2011,7836.6
01/01/2012,7848.5
01/02/2012,7858.8
01/03/2012,7869.8
01/04/2012,7880.4
01/05/2012,7891.7
01/06/2012,7902.9
01/07/2012,7916.6
01/08/2012,7931.6
01/09/2012,7945.2
01/10/2012,7959
01/11/2012,7971.8
01/12/2012,7984.5
01/01/2013,7996.2
01/02/2013,8006.5
01/03/2013,8017.9
01/04/2013,8029
01/05/2013,8040.2
01/06/2013,8052.2
01/07/2013,8066.4
01/08/2013,8081
01/09/2013,8094.1
01/10/2013,8108.3
01/11/2013,8121.3
01/12/2013,8134.5
01/01/2014,8146.8
01/02/2014,8157.9
01/03/2014,8170.4
01/04/2014,8182.5
01/05/2014,8195
01/06/2014,8208
01/07/2014,8223.7
01/08/2014,8239.3
01/09/2014,8254
01/10/2014,8269
01/11/2014,8282.4
01/12/2014,8296.9
01/01/2015,8309.1
01/02/2015,8320.8
01/03/2015,8334.1
01/04/2015,8346.4
01/05/2015,8358.9
01/06/2015,8372.5
01/07/2015,8389.1
01/08/2015,8405.5
01/09/2015,8419.9
01/10/2015,8435
01/11/2015,8448.9
01/12/2015,8463.4
01/01/2016,8476.2
01/02/2016,8487.9
01/03/2016,8501.7
01/04/2016,8513.6
01/05/2016,8526.8
01/06/2016,8540.2
01/07/2016,8555.1
01/08/2016,8571.5
01/09/2016,8586.8
01/10/2016,8600.2
01/11/2016,8614.9
01/12/2016,8628.6
01/01/2017,8641.4
01/02/2017,8653.3
01/03/2017,8666.8
01/04/2017,8678.8
01/05/2017,8692.3
01/06/2017,8706.3
01/07/2017,8721.7
01/08/2017,8738.1
01/09/2017,8753
01/10/2017,8768.5
01/11/2017,8783.2
01/12/2017,8797.9
01/01/2018,8811.1
01/02/2018,8822.7
01/03/2018,8835.9
01/04/2018,8849.3
01/05/2018,8862.5
01/06/2018,8875.9
01/07/2018,8891.4
01/08/2018,8908.1
01/09/2018,8922
01/10/2018,8938.5
01/11/2018,8953
01/12/2018,8967.6
01/01/2019,8980.8
01/02/2019,8992.5
01/03/2019,9006
01/04/2019,9019.2
01/05/2019,9034.1
01/06/2019,9048
01/07/2019,9063.9
01/08/2019,9080.2
01/09/2019,9096
01/10/2019,9111.4
01/11/2019,9126.3
01/12/2019,9140.5
01/01/2020,9153.9
01/02/2020,9166.5
01/03/2020,9178.7
01/04/2020,9189.7
01/05/2020,9201.6
01/06/2020,9214.1
01/07/2020,9227.4
01/08/2020,9241.3
01/09/2020,9254.5
01/10/2020,9267.3
01/11/2020,9279.4
01/12/2020,9293.888219
